#KO	geneTPM	geneNAME
K07130	208.441	kynB; arylformamidase [EC:3.5.1.9]
K07132	51.6611	MuB; Enterobacteriaceae phage ATP-dependent target DNA activator
K07133	487.86	K07133; uncharacterized protein
K07136	5.83995	K07136; uncharacterized protein
K07137	340.065	K07137; uncharacterized protein
K07138	75.9193	K07138; uncharacterized protein
K05895	77.7162	cobK-cbiJ; precorrin-6A/cobalt-precorrin-6A reductase [EC:1.3.1.54 1.3.1.106]
K07139	248.872	K07139; uncharacterized protein
K05896	268.188	scpA; segregation and condensation protein A
K05898	80.8608	kstD; 3-oxosteroid 1-dehydrogenase [EC:1.3.99.4]
K09780	304.126	K09780; uncharacterized protein
K03700	27.852	recU; recombination protein U
K16320	166.663	andAd; anthranilate 1,2-dioxygenase small subunit [EC:1.14.12.1]
K03701	1986.48	uvrA; excinuclease ABC subunit A
K03702	564.229	uvrB; excinuclease ABC subunit B
K16322	286.607	pit; low-affinity inorganic phosphate transporter
K03703	574.112	uvrC; excinuclease ABC subunit C
K16324	8.53531	psuT; putative pseudouridine transporter
K03704	980.662	cspA; cold shock protein
K16325	8.53531	nupX; nucleoside permease
K09786	297.837	K09786; uncharacterized protein
K03705	321.197	hrcA; heat-inducible transcriptional repressor
K16326	3.14459	yeiL; CRP/FNR family transcriptional regulator, putaive post-exponential-phase nitrogen-starvation regulator
K09787	68.2824	K09787; uncharacterized protein
K03706	75.4701	codY; transcriptional pleiotropic repressor
K09788	178.792	prpF; 2-methylaconitate isomerase [EC:5.3.3.-]
K03707	63.341	tenA; thiaminase (transcriptional activator TenA) [EC:3.5.99.2]
K16328	65.5871	psuK; pseudouridine kinase [EC:2.7.1.83]
K09789	58.8487	bioG; pimeloyl-[acyl-carrier protein] methyl ester esterase [EC:3.1.1.85]
K03708	72.7747	ctsR; transcriptional regulator of stress and heat shock response
K16329	19.766	psuG; pseudouridylate synthase [EC:4.2.1.70]
K03709	81.31	troR, sirR, scaR, mntR; DtxR family transcriptional regulator, Mn-dependent transcriptional regulator
K00690	70.9778	E2.4.1.7; sucrose phosphorylase [EC:2.4.1.7]
K00691	255.161	mapA; maltose phosphorylase [EC:2.4.1.8]
K00692	100.178	sacB; levansucrase [EC:2.4.1.10]
K00693	294.693	GYS; glycogen synthase [EC:2.4.1.11]
K00694	168.46	bcsA; cellulose synthase (UDP-forming) [EC:2.4.1.12]
K00696	210.238	E2.4.1.14; sucrose-phosphate synthase [EC:2.4.1.14]
K00697	52.1103	otsA; trehalose 6-phosphate synthase [EC:2.4.1.15 2.4.1.347]
K18979	204.847	queG; epoxyqueuosine reductase [EC:1.17.99.6]
K13766	106.916	liuC; methylglutaconyl-CoA hydratase [EC:4.2.1.18]
K13767	1.79691	fadB; enoyl-CoA hydratase [EC:4.2.1.17]
K07140	143.753	K07140; uncharacterized protein
K07141	259.204	mocA; molybdenum cofactor cytidylyltransferase [EC:2.7.7.76]
K07146	145.549	K07146; UPF0176 protein
K07147	163.518	msrP; methionine sulfoxide reductase catalytic subunit [EC:1.8.-.-]
K07148	417.332	K07148; uncharacterized protein
K07149	123.987	K07149; uncharacterized protein
K09790	85.8023	K09790; uncharacterized protein
K09791	50.3134	K09791; uncharacterized protein
K03710	1015.7	K03710; GntR family transcriptional regulator
K03711	385.886	fur, zur, furB; Fur family transcriptional regulator, ferric uptake regulator
K09793	77.7162	K09793; uncharacterized protein
K09794	53.458	K09794; uncharacterized protein
K09796	131.174	pccA; periplasmic copper chaperone A
K09797	22.4613	K09797; uncharacterized protein
K21632	3.59381	WOR2; white-opaque regulator 2
K03716	148.245	splB; spore photoproduct lyase [EC:4.1.99.14]
K09798	65.1379	K09798; uncharacterized protein
K03717	35.0397	nhaR; LysR family transcriptional regulator, transcriptional activator of nhaA
K09799	2.24613	K09799; uncharacterized protein
K03718	99.2791	asnC; Lrp/AsnC family transcriptional regulator, regulator for asnA, asnC and gidA
K03719	993.689	lrp; Lrp/AsnC family transcriptional regulator, leucine-responsive regulatory protein
K21636	700.794	nrdD; ribonucleoside-triphosphate reductase (formate) [EC:1.1.98.6]
K18982	66.9348	gli; D-galactarolactone isomerase [EC:5.4.1.4]
K18988	38.6335	ampH; serine-type D-Ala-D-Ala carboxypeptidase/endopeptidase [EC:3.4.16.4 3.4.21.-]
K18989	20.6644	vexF; multidrug efflux pump
K15011	228.207	regB, regS, actS; two-component system, sensor histidine kinase RegB [EC:2.7.13.3]
K15012	119.045	regA, regR, actR; two-component system, response regulator RegA
K13771	161.722	nsrR; Rrf2 family transcriptional regulator, nitric oxide-sensitive transcriptional repressor
K13774	38.6335	atuB; citronellol/citronellal dehydrogenase
K03268	163.069	todC1, bedC1, tcbAa; benzene/toluene/chlorobenzene dioxygenase subunit alpha [EC:1.14.12.3 1.14.12.11 1.14.12.26]
K21185	28.7505	sgcE6, mdpE6, kedE6; flavin reductase
K03269	250.668	lpxH; UDP-2,3-diacylglucosamine hydrolase [EC:3.6.1.54]
K07150	119.045	K07150; uncharacterized protein
